CurrentState,Receiver,Giver,Amount,,,,
0,Community,Community,0,,,,
1,Family 0,Community,790,,,,
1,Family 1,Community,100,,,,
1,Family 1,Community,90,,,,
1,Family 1,Family 0,90,1,,,
2,Family 2,Community,100,,,,
2,Family 2,Community,50,,,,
2,Family 2,Community,50,,,,
2,Family 2,Community,15,2,,,
2,Family 2,Family 1,10,2,,,
2,Family 2,Family 0,80,2,,,
2,Family 2,Community,50,,,,
2,Family 2,Community,90,,,,
2,Family 1,Family 2,15,2,,,`
2,Family 0,Family 2,15,2,,,
2,Family 3,Community,520,,,,
2,Family 3,Community,630,,,,
2,Family 3,Community,15,2,,,
2,Family 1,Family 0,90,1,,,
3,Family 4,Community,520,,,,
3,Family 4,Community,810,,,,
3,Family 4,Community,60,3,,,
3,Family 5,Community,200,,,,
3,Family 5,Community,270,,,,
3,Family 5,Family 3,50,3,,,
3,Family 3,Family 5,15,3,,,
3,Family 5,Family 3,15,3,,,
3,Family 5,Family 3,45,3,,,
3,Family 2,Community,15,2,,,
3,Family 2,Family 1,10,2,,,
3,Family 2,Family 0,80,2,,,
3,Family 1,Family 2,15,2,,,
3,Family 0,Family 2,15,2,,,
3,Family 3,Community,15,2,,,
3,Family 1,Family 0,90,1,,,
4,Family 0,Community,72,,,,
4,Family 1,Community,72,,,,
4,Family 2,Community,72,,,,
4,Family 3,Community,72,,,,
4,Family 5,Community,72,,,,
4,Family 0,Community,6,,,,
4,Family 1,Community,6,,,,
4,Family 2,Community,6,,,,
4,Family 0,Community,40,,,,
4,Family 1,Community,40,,,,
4,Family 2,Community,40,,,,
4,Family 3,Community,40,,,,
4,Family 5,Community,40,,,,
4,Family 0,Community,72,,,,
4,Family 1,Community,72,,,,
4,Family 2,Community,72,,,,
4,Family 3,Community,72,,,,
4,Family 5,Community,72,,,,
4,Family 6,Family 0,200,,,,
4,Family 6,Family 1,200,,,,
4,Family 6,Family 2,200,,,,
4,Family 6,Family 3,200,,,,
4,Family 6,Family 5,200,,,,
4,Family 6,Family 3,20,4,,,
4,Family 6,Family 0,2,4,,,
4,Family 6,Family 1,2,4,,,
4,Family 6,Family 2,2,4,,,
4,Family 6,Family 3,2,4,,,
4,Family 6,Family 5,2,4,,,
4,Family 6,Community,900,,,,
4,Family 4,Community,60,3,,,
4,Family 5,Family 3,50,3,,,
4,Family 3,Family 5,15,3,,,
4,Family 5,Family 3,15,3,,,
4,Family 5,Family 3,45,3,,,
4,Family 2,Community,15,2,,,
4,Family 2,Family 1,10,2,,,
4,Family 2,Family 0,80,2,,,
4,Family 1,Family 2,15,2,,,
4,Family 0,Family 2,15,2,,,
4,Family 3,Community,15,2,,,
4,Family 1,Family 0,90,1,,,
5,Family 7,Family 0,120,,,,
5,Family 7,Family 1,120,,,,
5,Family 7,Family 2,120,,,,
5,Family 7,Family 3,120,,,,
5,Family 7,Family 5,120,,,,
5,Family 7,Family 6,20,5,,,
5,Family 7,Community,540,,,,
5,Family 7,Family 3,20,5,,,
5,Family 7,Family 0,2,5,,,
5,Family 7,Family 1,2,5,,,
5,Family 7,Family 2,2,5,,,
5,Family 7,Family 3,2,5,,,
5,Family 7,Family 5,2,5,,,
5,Family 7,Family 6,260,5,,,
5,Family 8,Community,370,,,,
5,Family 8,Community,450,,,,
5,Family 8,Family 0,20,5,,,
5,Family 8,Family 1,5,5,,,
5,Family 8,Family 2,10,5,,,
